0,1,2,3,4,5,6,7,label,level
7.1718814e-10,4.102675e-10,1.966857e-09,5.1771122e-11,1.9061933e-06,4.549943e-10,0.06842499,0.9315731,1.0,7.0
3.4878416e-05,0.9895756,0.00985305,0.0001296501,0.00040128216,5.2525365e-06,8.000313e-08,1.5755228e-07,1.0,1.0
6.42541e-07,0.0009071869,0.0007592078,0.00018048078,0.9975285,0.0005728017,5.085056e-05,3.138446e-07,1.0,4.0
0.99997306,4.1280046e-09,1.1578972e-05,1.447758e-05,7.135638e-10,8.6429003e-07,2.1178905e-09,1.7809755e-08,1.0,0.0
6.063354e-10,3.8643303e-12,1.445349e-10,9.845654e-12,1.3098713e-08,3.344148e-11,0.0020850948,0.99791485,1.0,7.0
6.543574e-11,1.9087832e-11,7.0825276e-11,5.215318e-12,1.4306711e-07,3.6408248e-11,0.008919978,0.99107987,1.0,7.0
2.7738425e-08,1.941242e-09,7.072371e-09,9.219035e-11,7.853043e-06,6.5282233e-09,0.049751505,0.9502407,1.0,7.0
0.9631569,3.3377878e-06,0.034847435,0.0014337157,2.5388832e-07,0.00055843085,6.701345e-09,5.647976e-09,1.0,0.0
1.1338297e-09,5.0153764e-10,7.3476086e-10,1.228414e-11,1.4059555e-06,7.000247e-10,0.0517004,0.9482982,1.0,7.0
1.5035565e-07,0.00022963951,0.00022931365,2.3250344e-05,0.9986047,0.0008011874,0.00010991766,1.9100578e-06,1.0,4.0
3.143372e-05,0.00012999921,0.9917787,0.0032350647,0.0048214323,5.2204126e-07,3.746806e-07,2.5186612e-06,1.0,2.0
8.039883e-06,2.520144e-05,9.431292e-06,2.8734706e-07,0.9999479,8.39306e-06,8.1966306e-07,4.2895305e-09,1.0,4.0
8.922628e-06,0.9999788,3.412663e-06,1.8532855e-06,5.0083753e-07,6.55474e-06,5.3510907e-09,2.857604e-08,1.0,1.0
1.737254e-06,0.0002543861,3.395572e-05,4.626816e-05,2.9974706e-05,0.9996164,1.3806674e-05,3.4007423e-06,1.0,5.0
6.020003e-07,3.5621866e-08,6.4847634e-05,7.095435e-05,1.1354947e-07,0.99986327,2.0309702e-08,7.9483016e-08,1.0,5.0
0.9996369,4.863057e-09,4.2188883e-09,0.00036265643,9.913854e-11,3.4879986e-07,1.8347096e-09,7.32488e-08,1.0,0.0
0.9999285,6.001644e-07,9.025909e-07,5.1387833e-05,7.379945e-07,6.7985984e-06,7.495701e-06,3.5529363e-06,1.0,0.0
8.183271e-08,0.9998374,9.574229e-07,0.00014703821,2.1160024e-07,1.4111675e-05,6.788222e-08,7.44148e-08,1.0,1.0
1.0065017e-09,1.4808972e-09,7.8406914e-10,2.8474431e-11,2.7108497e-06,1.4585687e-10,0.99997926,1.805191e-05,1.0,6.0
0.96387213,7.775983e-05,1.1644197e-05,3.8254093e-05,2.5507775e-06,0.03598218,7.890641e-06,7.6405595e-06,1.0,0.0
0.00024615502,0.025929485,0.0038945691,0.017530221,0.95216155,6.6657456e-05,7.147353e-05,9.992927e-05,1.0,4.0
0.99999976,2.7462208e-10,7.625875e-08,1.7050219e-07,9.246922e-11,4.808616e-08,1.7942849e-10,2.962437e-10,1.0,0.0
1.1728931e-07,0.9999883,7.700227e-06,2.3571187e-07,3.1536093e-08,3.5621977e-06,5.299291e-09,2.7681568e-09,1.0,1.0
2.2366939e-07,0.00013199144,0.99958545,0.00027115166,9.739798e-06,8.8845195e-07,1.6084113e-07,2.4012957e-07,1.0,2.0
2.5755021e-08,3.1174877e-06,6.459794e-06,9.477044e-06,0.9898947,8.723088e-06,0.010076143,1.2950773e-06,1.0,4.0
1.1634954e-06,3.416823e-05,1.1308027e-05,8.71924e-07,0.9998386,4.2520514e-06,0.00010941,1.02912054e-07,1.0,4.0
1.7032249e-10,5.137061e-11,1.6202548e-10,3.5586757e-12,4.1106443e-07,7.157805e-11,0.009520729,0.99047893,1.0,7.0
