0,1,2,3,4,5,6,7,label,level
7.034836e-09,3.9421014e-12,1.8402508e-08,0.999995,1.4616119e-12,4.99286e-06,7.1397003e-14,1.0810951e-16,1.0,4.0
1.0,2.9215842e-12,1.0072461e-10,4.2947175e-08,9.557139e-14,4.275196e-10,1.6225621e-12,1.2303924e-14,1.0,7.0
1.0,3.9374715e-11,1.2314584e-10,3.0653762e-08,4.6022224e-14,2.913086e-09,4.7137207e-12,6.55244e-14,1.0,7.0
0.021943834,1.2620709e-11,1.7627123e-09,0.9780562,1.850235e-11,3.149619e-08,1.1782235e-10,2.1260149e-12,1.0,6.0
1.0,7.87841e-13,1.798564e-11,5.1143295e-10,4.337642e-15,6.391705e-12,2.5709315e-13,8.758397e-16,1.0,7.0
1.8733322e-06,5.6750432e-15,4.6266024e-10,0.9999981,1.5739846e-17,1.3241092e-09,7.115951e-16,1.246966e-21,1.0,6.0
2.832457e-09,1.2392924e-11,6.041371e-09,1.0,4.6933026e-12,8.55931e-09,1.2680863e-11,1.8598582e-12,1.0,2.0
3.2016043e-12,2.5864207e-16,2.0856854e-12,1.0,3.7362652e-19,2.720894e-09,2.3457625e-17,8.823274e-26,1.0,4.0
1.4070254e-08,2.5827877e-19,6.4160136e-11,0.99999976,9.642419e-19,1.984963e-07,3.804428e-16,4.0593786e-25,1.0,4.0
1.6453632e-11,7.2595093e-13,6.8373716e-11,1.0,5.8203464e-12,3.3512921e-09,7.6212874e-14,3.5746544e-15,1.0,4.0
0.9995203,8.676106e-15,6.9521087e-09,0.0004794938,4.548357e-14,2.7420566e-07,2.592441e-10,7.5016404e-16,1.0,6.0
2.2656035e-10,5.917571e-14,7.994281e-10,1.0,1.840273e-13,2.7188879e-08,2.629468e-15,3.5694928e-21,1.0,2.0
1.2683923e-09,5.2422194e-13,5.618251e-08,0.9999999,8.930736e-15,1.2568113e-07,1.6826827e-15,1.1439563e-19,1.0,2.0
4.032657e-13,8.587845e-24,3.689222e-16,1.0,1.5456191e-23,5.3576098e-12,2.7362954e-19,9.211093e-24,1.0,6.0
0.13400914,9.542103e-09,2.1356795e-05,0.86578643,1.1686236e-08,0.00018305393,9.1023733e-10,3.896299e-12,1.0,6.0
4.208774e-09,1.036191e-11,4.6131072e-09,0.99999845,4.47964e-11,1.5293808e-06,1.9901593e-13,9.602108e-18,1.0,5.0
2.9295666e-10,1.0943183e-19,1.1492605e-14,1.0,2.6558645e-19,7.641977e-09,4.0961644e-12,7.937495e-23,1.0,5.0
0.0014331726,3.6017568e-06,0.001741318,0.9949433,5.6402077e-05,0.001821979,2.2022694e-07,1.5551532e-08,1.0,4.0
2.1126115e-12,5.6483415e-26,4.1602083e-17,0.99997187,3.8775828e-22,2.8091195e-05,1.5535866e-10,1.3422737e-27,1.0,3.0
